table,row_id,column,value,normalized_path,exists_on_this_machine
asset_file,1,local_path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
asset_file,1,storage_uri,file:///tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
asset_file,2,local_path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
asset_file,2,storage_uri,file:///tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
asset_file,3,local_path,/tmp/fan_api_poc_demo.fa.fai,/tmp/fan_api_poc_demo.fa.fai,no
asset_file,3,storage_uri,file:///tmp/fan_api_poc_demo.fa.fai,/tmp/fan_api_poc_demo.fa.fai,no
asset_file,4,local_path,/tmp/fan_api_poc_demo.fa.fai,/tmp/fan_api_poc_demo.fa.fai,no
asset_file,4,storage_uri,file:///tmp/fan_api_poc_demo.fa.fai,/tmp/fan_api_poc_demo.fa.fai,no
asset_file,13,local_path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,no
asset_file,13,storage_uri,file:///Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,no
asset_file,14,local_path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,yes
asset_file,14,storage_uri,file:///Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,yes
asset_file,15,local_path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa.fai,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa.fai,yes
asset_file,15,storage_uri,file:///Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa.fai,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa.fai,yes
asset_file,16,local_path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
asset_file,16,storage_uri,file:///tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
asset_file,17,local_path,/tmp/fan_api_poc_demo.fa.fai,/tmp/fan_api_poc_demo.fa.fai,no
asset_file,17,storage_uri,file:///tmp/fan_api_poc_demo.fa.fai,/tmp/fan_api_poc_demo.fa.fai,no
asset_file,20,local_path,/tmp/fan_api_poc_demo_variants.bcf,/tmp/fan_api_poc_demo_variants.bcf,no
asset_file,20,storage_uri,file:///tmp/fan_api_poc_demo_variants.bcf,/tmp/fan_api_poc_demo_variants.bcf,no
asset_file,21,local_path,/tmp/fan_api_poc_demo_expression.tsv.h5,/tmp/fan_api_poc_demo_expression.tsv.h5,no
asset_file,21,storage_uri,file:///tmp/fan_api_poc_demo_expression.tsv.h5,/tmp/fan_api_poc_demo_expression.tsv.h5,no
asset_file,22,local_path,/tmp/fan_api_poc_demo_variants.bcf.csi,/tmp/fan_api_poc_demo_variants.bcf.csi,no
asset_file,22,storage_uri,file:///tmp/fan_api_poc_demo_variants.bcf.csi,/tmp/fan_api_poc_demo_variants.bcf.csi,no
asset_file,23,local_path,/tmp/fan_api_poc_demo_annotation.sqlite,/tmp/fan_api_poc_demo_annotation.sqlite,no
asset_file,23,storage_uri,file:///tmp/fan_api_poc_demo_annotation.sqlite,/tmp/fan_api_poc_demo_annotation.sqlite,no
asset_file,24,local_path,/tmp/fan_api_poc_demo_annotation.gff3.gz,/tmp/fan_api_poc_demo_annotation.gff3.gz,no
asset_file,24,storage_uri,file:///tmp/fan_api_poc_demo_annotation.gff3.gz,/tmp/fan_api_poc_demo_annotation.gff3.gz,no
asset_file,25,local_path,/tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,/tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,no
asset_file,25,storage_uri,file:///tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,/tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,no
asset_file,26,local_path,/tmp/fan_api_poc_demo_annotation.gff3.gz,/tmp/fan_api_poc_demo_annotation.gff3.gz,no
asset_file,26,storage_uri,file:///tmp/fan_api_poc_demo_annotation.gff3.gz,/tmp/fan_api_poc_demo_annotation.gff3.gz,no
asset_file,27,local_path,/tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,/tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,no
asset_file,27,storage_uri,file:///tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,/tmp/fan_api_poc_demo_annotation.gff3.gz.tbi,no
asset_file,28,local_path,/tmp/fan_api_poc_demo_signal.bed.gz,/tmp/fan_api_poc_demo_signal.bed.gz,no
asset_file,28,storage_uri,file:///tmp/fan_api_poc_demo_signal.bed.gz,/tmp/fan_api_poc_demo_signal.bed.gz,no
asset_file,29,local_path,/tmp/fan_api_poc_demo_signal.bed.gz.tbi,/tmp/fan_api_poc_demo_signal.bed.gz.tbi,no
asset_file,29,storage_uri,file:///tmp/fan_api_poc_demo_signal.bed.gz.tbi,/tmp/fan_api_poc_demo_signal.bed.gz.tbi,no
asset_file,30,local_path,/tmp/fan_api_poc_demo_interaction.bedpe.gz,/tmp/fan_api_poc_demo_interaction.bedpe.gz,no
asset_file,30,storage_uri,file:///tmp/fan_api_poc_demo_interaction.bedpe.gz,/tmp/fan_api_poc_demo_interaction.bedpe.gz,no
asset_file,31,local_path,/tmp/fan_api_poc_demo_interaction.bedpe.gz.tbi,/tmp/fan_api_poc_demo_interaction.bedpe.gz.tbi,no
asset_file,31,storage_uri,file:///tmp/fan_api_poc_demo_interaction.bedpe.gz.tbi,/tmp/fan_api_poc_demo_interaction.bedpe.gz.tbi,no
dataset_version,1,file_path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
dataset_version,2,file_path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
dataset_version,7,file_path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,no
dataset_version,8,file_path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,yes
dataset_version,9,file_path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
dataset_version,10,file_path,/tmp/fan_api_poc_demo_variants.bcf,/tmp/fan_api_poc_demo_variants.bcf,no
dataset_version,11,file_path,/tmp/fan_api_poc_demo_expression.tsv.h5,/tmp/fan_api_poc_demo_expression.tsv.h5,no
dataset_version,12,file_path,/tmp/fan_api_poc_demo_annotation.sqlite,/tmp/fan_api_poc_demo_annotation.sqlite,no
dataset_version,13,file_path,/tmp/fan_api_poc_demo_annotation.gff3.gz,/tmp/fan_api_poc_demo_annotation.gff3.gz,no
dataset_version,14,file_path,/tmp/fan_api_poc_demo_annotation.gff3.gz,/tmp/fan_api_poc_demo_annotation.gff3.gz,no
dataset_version,15,file_path,/tmp/fan_api_poc_demo_signal.bed.gz,/tmp/fan_api_poc_demo_signal.bed.gz,no
dataset_version,16,file_path,/tmp/fan_api_poc_demo_interaction.bedpe.gz,/tmp/fan_api_poc_demo_interaction.bedpe.gz,no
databases_file,1,path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
databases_file,2,path,/tmp/fan_api_poc_demo.fa,/tmp/fan_api_poc_demo.fa,no
databases_file,7,path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/dataset-staging/20260323/0cd7f2d1e44444e183ec615e5758c097_fan_api_poc_demo.fa,no
databases_file,8,path,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,/Users/kentnf/projects/fan-api-poc/backend/api-server/runtime/datasets/ds-8/versions/v1/assets/reference_fasta/primary/6f2f3f94dafa4a9f814dde5aa30b4844_fan_api_poc_demo.fa,yes
databases_file,9,path,/tmp/fan_api_poc_demo_variants.bcf,/tmp/fan_api_poc_demo_variants.bcf,no
databases_file,10,path,/tmp/fan_api_poc_demo_expression.tsv.h5,/tmp/fan_api_poc_demo_expression.tsv.h5,no
databases_file,11,path,/tmp/fan_api_poc_demo_annotation.sqlite,/tmp/fan_api_poc_demo_annotation.sqlite,no
